disease,step,rr_mean,rr_lci,rr_uci
cancer,1320,0.997450154229705,0.995934332637133,0.999860764896755
cancer,1330,0.99734523477138,0.995754437257523,0.999860874703618
cancer,1340,0.997240315313055,0.995558842642578,0.999860984510482
cancer,1350,0.99713539585473,0.995343051944434,0.999861094317346
cancer,1360,0.997030476396406,0.995146459329994,0.99986120412421
cancer,1370,0.996925556938081,0.994942109202828,0.999861313931073
cancer,1380,0.996820637479756,0.994728019673367,0.999861423737937
cancer,1390,0.996715718021431,0.994513967271266,0.999861533544801
cancer,1400,0.996610798563107,0.994299960430741,0.999861643351665
cancer,1410,0.996505879104782,0.994089642501286,0.999861753158528
cancer,1420,0.996400959646457,0.993879324571832,0.999861862965392
cancer,1430,0.996296040188133,0.993669021546632,0.999861972772256
cancer,1440,0.996191120729808,0.993458740894233,0.99986208257912
cancer,1450,0.996086201271483,0.993248460241834,0.999862192385983
cancer,1460,0.995981281813159,0.993038179589435,0.999862302192847
cancer,1470,0.995876362354834,0.992827898937037,0.999862411999711
cancer,1480,0.995771442896509,0.992617618284638,0.999862521806575
cancer,1490,0.995666523438184,0.992407337632239,0.999862631613438
cancer,1500,0.99556160397986,0.99219705697984,0.999862741420302
cancer,1510,0.995456684521535,0.991986776327441,0.999862851227166
cancer,1520,0.99535176506321,0.991776074091876,0.99986296103403
cancer,1530,0.995246845604885,0.991561281501591,0.999863070840893
cancer,1540,0.995141926146561,0.991346488911306,0.999863180647757
cancer,1550,0.995037006688236,0.991131696321021,0.999863290454621
cancer,1560,0.994932087229911,0.990916903730736,0.999863400261485
cancer,1570,0.994827167771587,0.990702111140451,0.999863510068348
cancer,1580,0.994722248313262,0.990487318550166,0.999863619875212
cancer,1590,0.994617328854937,0.990272525959881,0.999863729682076
cancer,1600,0.994512409396612,0.990057733369595,0.99986383948894
cancer,1610,0.994407489938288,0.98984294077931,0.999863949295804
cancer,1620,0.994302570479963,0.989628148189025,0.999864059102667
cancer,1630,0.994197651021638,0.98941335559874,0.999864168909531
cancer,1640,0.994092731563313,0.989198563008456,0.999864278716395
cancer,1650,0.993987812104989,0.98898377041817,0.999864388523259
cancer,1660,0.993882892646664,0.988768977827885,0.999864498330122
cancer,1670,0.993777973188339,0.988554877686633,0.999864608136986
cancer,1680,0.993673053730015,0.988342186658085,0.99986471794385
cancer,1690,0.99356813427169,0.988129495629537,0.999864827750714
cancer,1700,0.993463214813365,0.987916852778952,0.999864937557577
cancer,1710,0.99335829535504,0.987704264755827,0.999865047364441
cancer,1720,0.993253375896716,0.987491676732702,0.999865157171305
cancer,1730,0.993148456438391,0.987279360270845,0.999865266978169
cancer,1740,0.993043536980066,0.987068584892036,0.999865376785032
cancer,1750,0.992938617521741,0.986857809513228,0.999865486591896
cancer,1760,0.992833698063417,0.98664703413442,0.99986559639876
cancer,1770,0.992728778605092,0.986436258755611,0.999865706205624
cancer,1780,0.992623859146767,0.986225483376803,0.999865816012488
cancer,1790,0.992518939688443,0.986014707997994,0.999865925819351
cancer,1800,0.992414020230118,0.985803932619186,0.999866035626215
cancer,1810,0.992309100771793,0.985593157240377,0.999866145433079
cancer,1820,0.992204181313469,0.985382381861569,0.999866255239943
cancer,1830,0.992099261855144,0.985171606482761,0.999866365046806
cancer,1840,0.991994342396819,0.984960841004951,0.99986647485367
cancer,1850,0.991889422938494,0.984749601673101,0.999866584660534
cancer,1860,0.99178450348017,0.984536320256516,0.999866694467397
cancer,1870,0.991679584021845,0.984323038839931,0.999866804274261
cancer,1880,0.99157466456352,0.984109757423346,0.999866914081125
cancer,1890,0.991469745105196,0.983896476006761,0.999867023887989
cancer,1900,0.991364825646871,0.983683194590176,0.999867133694853
cancer,1910,0.991259906188546,0.983469913173592,0.999867243501716
cancer,1920,0.991154986730221,0.983256631757007,0.99986735330858
cancer,1930,0.991050067271897,0.983043350340422,0.999867463115444
cancer,1940,0.990945147813572,0.982830068923837,0.999867572922308
cancer,1950,0.990840228355247,0.9826182593376,0.999867682729171
cancer,1960,0.990735308896922,0.982407095735993,0.999867792536035
cancer,1970,0.990630389438598,0.982195932134385,0.999867902342899
cancer,1980,0.990525469980273,0.981984768532778,0.999868012149763
cancer,1990,0.990420550521948,0.98177360493117,0.999868121956627
cancer,2000,0.990315631063624,0.981562441329563,0.99986823176349
cancer,2010,0.990210711605299,0.981351277727956,0.999868341570354
cancer,2020,0.990105792146974,0.981140114126348,0.999868451377218
cancer,2030,0.990000872688649,0.980928950524741,0.999868561184081
cancer,2040,0.989895953230325,0.980717786923134,0.999868670990945
cancer,2050,0.989791033772,0.980506623321526,0.999868780797809
cancer,2060,0.989686114313675,0.980295459719919,0.999868890604673
cancer,2070,0.98958119485535,0.980084296118312,0.999869000411537
cancer,2080,0.989476275397026,0.979873132516705,0.9998691102184
cancer,2090,0.989371355938701,0.979661968915097,0.999869220025264
cancer,2100,0.989266436480376,0.97945080531349,0.999869329832128
cancer,2110,0.989161517022051,0.979239641711883,0.999869439638992
cancer,2120,0.989056597563727,0.979028478110275,0.999869549445855
cancer,2130,0.988951678105402,0.978817314508668,0.999869659252719
cancer,2140,0.988846758647077,0.978606150907061,0.999869769059583
cancer,2150,0.988741839188753,0.978394987305453,0.999869878866446
cancer,2160,0.988636919730428,0.978183823703846,0.99986998867331
cancer,2170,0.988532000272103,0.977972660102239,0.999870098480174
cancer,2180,0.988427080813779,0.977761508490933,0.999870208287038
cancer,2190,0.988322161355454,0.977550362424932,0.999870318093902
cancer,2200,0.988217241897129,0.977339216358932,0.999870427900765
cancer,2210,0.988112322438804,0.977128070292931,0.999870537707629
cancer,2220,0.98800740298048,0.976916924226931,0.999870647514493
cancer,2230,0.987902483522155,0.97670577816093,0.999870757321357
cancer,2240,0.98779756406383,0.976494632094929,0.99987086712822
